train_upto,test_month,days,AUC,AP,Sharpe,MDD,CAGR_est
2022-03-31,2022-04,20,0.37773809523809526,0.2669041967967688,-6.361733162182691,-0.10243672962994102,-0.6984757916241272
2022-04-29,2022-05,21,0.48428895367670877,0.3144732876033517,-0.49063292736492986,-0.06326762035297925,-0.11195371346658345
2022-05-31,2022-06,21,0.4532987798293921,0.25874135899309036,-3.8987411921032873,-0.0836812999286615,-0.5740702253913932
2022-06-30,2022-07,20,0.6314285714285715,0.4295680667139312,4.966594840354419,-0.030111159068095056,1.1008379452849635
2022-07-29,2022-08,23,0.4908632640201638,0.2792566272157329,-3.614136094539184,-0.06808964094898265,-0.418415550164725
2022-08-31,2022-09,21,0.4548104956268221,0.28427690336078915,-4.026519225723491,-0.07121840908018162,-0.4559561984899496
2022-09-30,2022-10,21,0.5574991901522514,0.3830355506949259,-1.5360288320687707,-0.05965072595705991,-0.27487772691198653
2022-10-31,2022-11,21,0.4557823129251701,0.2736502840170961,2.240662012801317,-0.02601956030604663,0.650777448155041
2022-11-30,2022-12,21,0.5528560630601447,0.3264930828612824,-7.198148603076293,-0.09081820237495675,-0.6367392041957073
2022-12-30,2023-01,20,0.5147619047619049,0.3985518648418168,7.734365081525614,-0.011831519965607221,1.6859084103992803
2023-01-31,2023-02,19,0.5281625115420129,0.4234741438341597,0.1518135295676721,-0.03737955623743708,0.02705146970877692
2023-02-28,2023-03,23,0.5585561256638761,0.39230973896271715,7.216796314036601,-0.01054127046425608,1.0593162568278225
2023-03-31,2023-04,19,0.5913467880226884,0.46081127865736493,1.714169942355393,-0.014544932260499771,0.1753199579451703
2023-04-28,2023-05,22,0.5663124754033845,0.3373921202394756,5.364121039507269,-0.012422076937752085,1.0118630143906895
2023-05-31,2023-06,21,0.5424900118777669,0.32377815935973014,3.713492980532948,-0.02180969079595154,0.46082424099677377
2023-06-30,2023-07,20,0.5997619047619047,0.35392854700016974,3.046486821372483,-0.015409703783333506,0.3075895338586141
2023-07-31,2023-08,23,0.569628229363579,0.35397387036285216,-0.8009808132099158,-0.038613746142097116,-0.08686430530630862
2023-08-31,2023-09,20,0.4197619047619047,0.25046296549445557,-2.3435966558949595,-0.0298310331196061,-0.1742039689341407
2023-09-29,2023-10,22,0.505608028335301,0.3426345369339629,-2.7199226063290434,-0.04713612456921015,-0.25046145412546483
2023-10-31,2023-11,21,0.5370910268869452,0.3550623662221324,8.681600840182107,-0.0038508477530199703,0.801664280480652
2023-11-30,2023-12,20,0.4433333333333333,0.26315240318619615,5.587189175606807,-0.006275582034698357,0.4692093459859059
2023-12-29,2024-01,21,0.6124608573588166,0.39914758576482356,3.733440588869641,-0.016477055268731517,0.3511539100488221
2024-01-31,2024-02,20,0.6359523809523809,0.3983360280339114,3.6269591368778658,-0.013890772874202923,0.6885539572771753
2024-02-29,2024-03,20,0.6039285714285715,0.37397138251019557,-0.2750982918796449,-0.027617894981555823,-0.028034165651257048
2024-03-28,2024-04,22,0.532172373081464,0.32858031548850114,-2.8582747702100275,-0.05943625501114691,-0.30728983236187424
2024-04-30,2024-05,22,0.4771743408107045,0.3127123530588545,5.702391231874126,-0.007967739869789162,0.5020345869132545
2024-05-31,2024-06,19,0.5715604801477377,0.3733945819206821,2.9705845014192045,-0.015734853401138758,0.32827487118498677
2024-06-28,2024-07,22,0.501672569854388,0.3092499797629259,0.6762214335082052,-0.058189034152936935,0.12183042800474975
2024-07-31,2024-08,22,0.5924832743014561,0.3770014650426772,3.1593560730221033,-0.02173379425000055,0.47786320284501826
2024-08-30,2024-09,20,0.5085714285714287,0.29131659003025917,1.9899078613347918,-0.02589281905522899,0.28756276641012124
2024-09-30,2024-10,23,0.5138176253488163,0.3249283225480868,-1.5344687948758462,-0.04462856999306389,-0.162238757251858
2024-10-31,2024-11,20,0.6003571428571428,0.38400728709399773,4.6666824660254145,-0.027311411347326717,0.7637474698303
2024-11-29,2024-12,21,0.6342727567217363,0.4308831785809222,4.172786618179805,-0.019214038087592804,0.9029999258811809
2024-12-31,2025-01,20,0.45357142857142857,0.33570624076849387,0.3695396942720978,-0.02541567328801366,0.049875632849177176
2025-01-31,2025-02,19,0.5950402321593458,0.37758187723028763,-0.1515183037916787,-0.040413549495037074,-0.018064000418867132
2025-02-28,2025-03,21,0.540546377281071,0.38651100300707114,-2.068639372885663,-0.04147163382909794,-0.2663890649749121
2025-03-31,2025-04,21,0.5130115538278803,0.29643359127287516,0.34212690933716156,-0.059178982732319994,0.12326585420692204
2025-04-30,2025-05,21,0.6315732642263253,0.41418150276080545,5.4132064285703425,-0.010834892350275096,0.8018148673827525
2025-05-30,2025-06,20,0.5634523809523809,0.32128766785853463,1.9621698934754537,-0.016449122772238426,0.18723271262272267
2025-06-30,2025-07,22,0.7297323888232979,0.5614682194270729,7.5285554120050975,-0.009691854448133043,0.8406996181143866
2025-07-31,2025-08,21,0.3559010905949681,0.24287582552229253,1.2231902753339707,-0.02153518760156656,0.0992344538151324
2025-08-29,2025-09,21,0.3281503077421445,0.25034212496855374,5.719469491993429,-0.013108744036169108,0.5601073844243019
2025-09-30,2025-10,20,0.6007168458781361,0.33954940476935125,4.355132316751745,-0.019547569652173597,0.8379749634553164
